Timestamp,Wogegen sind Sie geimpft?,"Falls Sie nicht geimpft sind, weshalb nicht?",Sind Sie z.B. aufgrund von Immunsuppressiva auf eine hohe Immunität innerhalb der Bevölkerung angewiesen?,"Ich würde mich gegen Krankheiten mit hohem Infektionsrisiko, jedoch leichten Symptomen impfen lassen.","Ich würde mich gegen Krankheiten mit niedrigem Infektionsrisiko, jedoch schweren Symptomen impfen lassen.",Vor einer Impfung achte ich auf ihre Wirksamkeit.,Vor einer Impfung achte ich auf Empfehlungen meiner Ärztin bzw. meines Arztes.,Vor einer Impfung achte ich auf Empfehlungen des Gesundheitsamtes oder der Impfkommission.,"Für mich ist eine Impfung wirksam, wenn sie mein Infektionsrisiko senkt.","Für mich ist eine Impfung wirksam, wenn sie die Weitergabe des Krankheitserregers verhindert.","Für mich ist eine Impfung wirksam, wenn sie im Falle einer Infektion meine Symptome mildert.",Kurzzeitige leichte Nebenwirkungen wie Müdigkeit oder Schwindel würde ich in Kauf nehmen.,Kurzzeitige schwere Nebenwirkungen wie hohes Fieber würde ich in Kauf nehmen.,Länger andauernde Nebenwirkungen wie Müdigkeit würde ich in Kauf nehmen.,Wie viele Covid-19-Impfdosen haben Sie bereits erhalten?,"Wenn ja, wann haben Sie sich impfen lassen?","Wenn ja, aus welchem Grund haben Sie sich impfen lassen?","Sind generelle Hygienemaßnahmen (Sicherheitsabstände, Hände waschen, Lüften, persönliche Schutzmaßnahmen) Ihrer Ansicht nach bereits ausreichend wirksam?","Sind Covid-19-Maßnahmen der Regierung (Einschränkungen für Gastronomie, Veranstaltungen, Home Office) Ihrer Ansicht nach wirksam?",In welchen Bereichen vertrauen Sie der Covid-19-Impfung?,In welchen Bereichen vertrauen Sie der Covid-19-Impfung nicht?,Geschlecht,Alter,Was ist Ihre höchste abgeschlossene Schulbildung?,Welchen Beruf üben Sie aus?,Sind Sie im Gesundheitsbereich tätig?,"Wenn ja, welchen Beruf üben Sie genau aus?"
15/04/2022 11:19:18,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,5,3,4,5,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",1,5,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,41,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,
15/04/2022 11:19:31,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,3,5,4,5,5,5,5,5,5,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,3,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,58,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,
15/04/2022 11:20:43,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Ja,5,5,4,3,2,5,4,5,4,4,3,mehr als 3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,37,Hochschule/Universität,Angestellte/r,Nein,
15/04/2022 11:21:26,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,3,4,5,5,3,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,2,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,26,Hochschule/Universität,Angestellte/r,Nein,
15/04/2022 11:21:37,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,4,3,4,5,3,4,4,4,4,2,1,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,4,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung",Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität),männlich,53,Berufsbildende Mittlere Schule (Fach-/Handelsschule),Angestellte/r,Nein,
15/04/2022 11:24:39,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis",Aus Angst vor Nebenwirkungen,Nein,1,1,5,2,2,5,5,2,2,2,1,keine,,,5,2,Keine der genannten,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,56,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,
15/04/2022 11:25:49,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,3,5,4,4,4,5,4,4,5,5,2,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)","Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,37,Hochschule/Universität,Selbstständig,Nein,
15/04/2022 11:25:52,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,4,4,5,5,5,5,5,5,4,2,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,48,Hochschule/Universität,Leitende/r Angestellte/r,Nein,
15/04/2022 11:30:27,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,3,5,4,5,4,5,5,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",4,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,56,Berufsbildende Mittlere Schule (Fach-/Handelsschule),Selbstständig,Nein,Versicherungsmakler
15/04/2022 11:38:43,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,3,5,5,5,4,5,5,5,5,2,3,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um einfacher reisen zu können",4,3,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,27,Matura (AHS/BHS/Abendmatura),Angestellte/r,Ja,DGKP
15/04/2022 11:39:22,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,3,3,5,3,3,3,3,3,5,5,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",3,3,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,39,Hochschule/Universität,Angestellte/r,Nein,
15/04/2022 11:40:40,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,3,5,5,5,4,3,5,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,3,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,60,Hochschule/Universität,Leitende/r Angestellte/r,Ja,Pflegedienstleitung
15/04/2022 11:43:36,"Masern-Mumps-Röteln, Grippe, Covid-19",,Nein,5,5,5,5,5,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,5,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,56,Hochschule/Universität,Selbstständig,Nein,
15/04/2022 11:52:23,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Ja,5,5,5,5,3,5,3,5,5,4,5,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,3,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,48,Berufsbildende Mittlere Schule (Fach-/Handelsschule),Leitende/r Angestellte/r,Nein,
15/04/2022 11:53:51,"Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,3,4,5,5,5,5,5,4,5,4,4,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren",Zu meinem eigenem Schutz,2,4,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,weiblich,64,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,Pensionist
15/04/2022 11:54:13,"Polio, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,4,5,5,5,5,5,5,5,5,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",4,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,68,Lehre,Derzeit nicht erwerbstätig,Nein,
15/04/2022 11:54:39,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,4,5,5,5,4,5,5,5,5,4,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,52,Berufsbildende Mittlere Schule (Fach-/Handelsschule),ArbeiterIn,Nein,
15/04/2022 11:54:41,"Masern-Mumps-Röteln, Tetanus",Ich bin Impfungen gegenüber generell vorsichtig eingestellt,Nein,1,1,5,3,1,3,3,3,2,1,2,keine,,,5,3,Keine der genannten,Keine der genannten,weiblich,60,Lehre,Derzeit nicht erwerbstätig,Nein,
15/04/2022 11:56:10,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,5,4,5,4,5,5,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,39,Hochschule/Universität,Angestellte/r,Nein,
15/04/2022 11:58:47,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, Covid-19",,Nein,5,5,5,5,5,3,5,5,5,5,5,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,46,Hochschule/Universität,Angestellte/r,Nein,
15/04/2022 12:01:47,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,4,5,5,2,5,5,5,5,2,3,Zum ehestmöglichem Zeitpunkt,Um besonders gefährdete Menschen zu schützen (Herdenimmunität),3,2,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,48,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,IT Administration 
15/04/2022 12:14:29,"Polio, Tetanus, Covid-19",,Nein,5,4,5,5,4,4,5,5,4,3,2,3,Zum ehestmöglichem Zeitpunkt,Um besonders gefährdete Menschen zu schützen (Herdenimmunität),3,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,23,Hochschule/Universität,In Ausbildung (Schule/Lehre/Studium),Nein,
15/04/2022 12:14:30,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,3,5,4,4,4,3,3,5,5,4,1,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",2,3,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,25,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,Designerin
15/04/2022 12:15:38,"Masern-Mumps-Röteln, Polio, Tetanus, Covid-19",,Nein,3,4,4,5,3,4,4,4,5,3,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",4,4,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Symptome im Falle einer Ansteckung,männlich,63,Matura (AHS/BHS/Abendmatura),Selbstständig,Nein,
15/04/2022 12:16:37,"Masern-Mumps-Röteln, Polio, Tetanus, Covid-19",,Nein,5,5,3,4,4,3,3,4,5,5,2,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,2,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,48,Hochschule/Universität,Angestellte/r,Nein,Grafik-Designer
15/04/2022 12:19:47,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,4,5,5,5,5,5,5,4,5,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,männlich,58,Hochschule/Universität,Selbstständig,Nein,Consulting 
15/04/2022 12:21:07,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,3,5,5,4,4,5,4,5,5,5,5,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,5,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,68,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,
15/04/2022 12:21:11,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Ja,5,5,4,3,3,4,4,4,5,5,5,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,3,2,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,52,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,
15/04/2022 12:21:18,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,5,5,3,4,4,5,5,5,5,4,1,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,1,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,35,Lehre,Angestellte/r,Nein,
15/04/2022 12:21:39,"Masern-Mumps-Röteln, Polio, Tetanus, Grippe, Covid-19",,Nein,4,5,5,5,4,5,4,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",4,4,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,weiblich,60,Hochschule/Universität,Leitende/r Angestellte/r,Nein,
15/04/2022 12:25:56,"Masern-Mumps-Röteln, Polio, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,5,4,4,5,4,3,5,5,4,3,2,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung",Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität),männlich,26,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,Bundesbediensteter 
15/04/2022 12:28:28,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,1,4,4,2,2,3,3,3,5,4,3,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,1,4,Symptome im Falle einer Ansteckung,Keine der genannten,männlich,63,Matura (AHS/BHS/Abendmatura),Selbstständig,Nein,
15/04/2022 12:29:21,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,3,3,5,5,5,5,5,5,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,36,Hochschule/Universität,Angestellte/r,Nein,
15/04/2022 12:33:04,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,3,3,3,5,5,5,5,5,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,3,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,29,Hochschule/Universität,Angestellte/r,Nein,AHS-Lehrerin
15/04/2022 12:34:04,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis",Ich bin Impfungen gegenüber generell vorsichtig eingestellt,Nein,1,3,5,5,3,5,5,3,5,1,1,keine,,,5,3,Keine der genannten,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,31,Hochschule/Universität,Leitende/r Angestellte/r,Ja,Sozialarbeit 
15/04/2022 12:34:45,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, Grippe, Covid-19",,Nein,5,5,5,5,5,5,5,5,5,5,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",4,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,37,Hochschule/Universität,Angestellte/r,Nein,
15/04/2022 12:36:15,"Masern-Mumps-Röteln, Polio, Tetanus, Covid-19",,Nein,4,5,5,4,4,5,5,5,4,3,1,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",3,3,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,66,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,Lehrerin Pensionistin
15/04/2022 12:37:42,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,2,3,4,4,4,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,44,Hochschule/Universität,Selbstständig,Nein,
15/04/2022 12:43:18,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, Grippe, Covid-19",,Nein,3,5,3,4,4,4,5,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",3,1,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,45,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,
15/04/2022 12:47:55,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,2,5,4,5,5,5,4,4,5,4,2,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung",Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität),männlich,50,Hochschule/Universität,Selbstständig,Nein,
15/04/2022 12:49:44,"Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,5,4,4,5,5,4,5,5,4,4,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,4,4,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,63,Matura (AHS/BHS/Abendmatura),Derzeit nicht erwerbstätig,Nein,
15/04/2022 12:54:40,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,4,4,3,2,2,4,5,3,5,4,2,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,3,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,35,Hochschule/Universität,Angestellte/r,Nein,Sozialarbeiterin
15/04/2022 13:01:44,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,5,4,4,5,5,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,5,3,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,weiblich,55,Lehre,Leitende/r Angestellte/r,Nein,Personalmanagerin
15/04/2022 13:01:49,"Masern-Mumps-Röteln, Tetanus, FSME/Zeckenschutzimpfung, Covid-19",,Nein,2,5,5,5,4,3,3,4,3,2,3,3,Mit der Einführung von 3G am Arbeitsplatz,Aufgrund der 3G-Pflicht am Arbeitsplatz,4,2,Verhinderung einer Ansteckung,Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität),weiblich,50,Lehre,Angestellte/r,Nein,Einzelhandel 
15/04/2022 13:01:58,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Ja,5,4,3,5,4,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,5,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,45,Hochschule/Universität,Angestellte/r,Ja,Juristin im Gesundheitsbereich
15/04/2022 13:05:32,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,1,3,4,3,3,5,4,5,5,5,1,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,3,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,56,Hochschule/Universität,Angestellte/r,Nein,
15/04/2022 13:10:09,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,4,4,2,4,5,3,4,5,3,2,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,4,5,Verhinderung einer Ansteckung,Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität),männlich,70,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,
15/04/2022 13:11:38,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,3,4,3,5,5,5,5,3,3,mehr als 3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,3,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,47,Hochschule/Universität,Angestellte/r,Nein,Softwareentwicklung
15/04/2022 13:12:48,"Masern-Mumps-Röteln, Polio, Tetanus, Covid-19",,Nein,2,5,5,2,1,3,4,5,5,3,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",1,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,43,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,
